geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN10050.c0.g1.i1 5284 5752 5282 5470 6634 7316
Dgal_TRINITY.DN10051.c0.g1.i1 112 96 90 62 86 128
Dgal_TRINITY.DN10052.c0.g1.i2 70 58 70 42 30 68
Dgal_TRINITY.DN10053.c0.g1.i1 13024 13396 13934 13854 14164 16730
Dgal_TRINITY.DN10054.c0.g1.i1 2694 3086 2694 2910 2922 3188
Dgal_TRINITY.DN10055.c0.g1.i1 1860 6516 4754 7252 3160 4538
Dgal_TRINITY.DN10056.c0.g1.i3 16 22 18 58 14 18
Dgal_TRINITY.DN10056.c0.g1.i6 32 16 28 90 22 38
Dgal_TRINITY.DN10058.c0.g1.i4 12 32 16 18 24 28
Dgal_TRINITY.DN10058.c0.g1.i5 12 10 10 12 10 40
Dgal_TRINITY.DN10058.c0.g1.i6 0 0 0 0 0 0
Dgal_TRINITY.DN10059.c0.g1.i1 44 48 42 50 30 28
Dgal_TRINITY.DN10059.c0.g1.i2 22 16 8 12 14 12
Dgal_TRINITY.DN1005.c0.g1.i1 4 10 2 18 8 4
Dgal_TRINITY.DN10060.c0.g1.i1 1882 2054 1968 1980 2078 2468
Dgal_TRINITY.DN10061.c1.g1.i1 80 62 44 56 74 90
Dgal_TRINITY.DN10061.c2.g1.i1 126 224 160 134 142 116
Dgal_TRINITY.DN10061.c3.g1.i1 3056 3320 3004 2906 2992 3426
Dgal_TRINITY.DN10062.c0.g1.i1 94 92 76 64 94 112
Dgal_TRINITY.DN10062.c0.g2.i1 22 26 46 32 32 24
Dgal_TRINITY.DN10063.c0.g1.i1 64 60 60 38 58 72
Dgal_TRINITY.DN10063.c0.g1.i2 8 10 2 6 0 4
Dgal_TRINITY.DN10064.c0.g1.i1 1078 854 856 904 1222 1892
Dgal_TRINITY.DN10065.c0.g1.i1 20 24 54 26 50 54
Dgal_TRINITY.DN10066.c0.g1.i1 7702 4854 4658 7996 9716 14676
Dgal_TRINITY.DN10066.c0.g1.i2 980 664 660 924 1232 1982
Dgal_TRINITY.DN10067.c0.g2.i1 128 136 102 130 154 146
Dgal_TRINITY.DN10067.c1.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN10067.c1.g2.i1 34 30 22 28 66 36
Dgal_TRINITY.DN10067.c1.g2.i2 12 2 14 4 6 8
Dgal_TRINITY.DN10067.c1.g2.i3 2 0 6 0 0 0
Dgal_TRINITY.DN10068.c0.g1.i1 178 696 476 512 328 516
Dgal_TRINITY.DN10069.c0.g1.i1 792 670 876 764 954 1154
Dgal_TRINITY.DN1006.c0.g1.i1 100 130 116 114 112 144
Dgal_TRINITY.DN10070.c0.g2.i1 88 108 94 94 78 96
Dgal_TRINITY.DN10071.c0.g1.i1 8 18 16 36 16 14
Dgal_TRINITY.DN10072.c0.g1.i1 96 154 150 100 162 176
Dgal_TRINITY.DN10073.c0.g1.i1 1940 1920 1858 1960 2038 2996
Dgal_TRINITY.DN10074.c0.g1.i1 240 246 244 248 282 276
Dgal_TRINITY.DN10074.c0.g1.i2 82 118 92 94 92 146
