geneID M6_C M6_C M6_C M6_F M6_F M6_F
Dgal_TRINITY.DN14771.c0.g2.i2 364 330 378 302 400 564
Dgal_TRINITY.DN14772.c0.g1.i1 34492 35396 37752 42730 39098 46978
Dgal_TRINITY.DN14773.c0.g1.i1 684 744 766 780 818 914
Dgal_TRINITY.DN14774.c0.g1.i1 2940 2496 2880 2880 3296 3854
Dgal_TRINITY.DN14775.c0.g1.i1 1342 1224 1172 1110 1240 1564
Dgal_TRINITY.DN14776.c0.g1.i1 52 80 46 46 50 64
Dgal_TRINITY.DN14776.c0.g1.i2 70 108 92 104 140 122
Dgal_TRINITY.DN14776.c0.g1.i4 198 190 168 178 150 224
Dgal_TRINITY.DN14777.c0.g1.i1 80 100 138 146 92 130
Dgal_TRINITY.DN14778.c0.g1.i1 1208 910 1036 982 1224 1412
Dgal_TRINITY.DN14778.c0.g1.i2 1192 1096 1196 1092 1048 1396
Dgal_TRINITY.DN14779.c0.g1.i1 10 12 14 22 26 26
Dgal_TRINITY.DN14779.c0.g1.i2 2 8 10 0 14 12
Dgal_TRINITY.DN14779.c0.g1.i3 6 0 0 0 0 0
Dgal_TRINITY.DN14780.c0.g1.i1 10 30 22 28 26 12
Dgal_TRINITY.DN14781.c0.g1.i1 890 994 886 876 930 1132
Dgal_TRINITY.DN14782.c0.g1.i1 528 426 458 474 538 704
Dgal_TRINITY.DN14782.c0.g2.i1 26 28 32 28 26 30
Dgal_TRINITY.DN14782.c0.g2.i2 2 0 0 0 2 4
Dgal_TRINITY.DN14782.c0.g2.i3 2 10 0 0 2 2
Dgal_TRINITY.DN14782.c0.g2.i4 4 0 2 2 2 2
Dgal_TRINITY.DN14783.c0.g1.i2 36 48 42 10 10 4
Dgal_TRINITY.DN14784.c0.g1.i1 1004 792 946 1046 1178 1462
Dgal_TRINITY.DN14784.c0.g2.i1 194 104 134 202 174 222
Dgal_TRINITY.DN14785.c1.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14785.c1.g1.i2 318 278 278 306 302 410
Dgal_TRINITY.DN14785.c1.g1.i3 318 282 266 440 322 394
Dgal_TRINITY.DN14785.c1.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14786.c0.g1.i1 4746 4214 4344 3920 4306 5252
Dgal_TRINITY.DN14787.c0.g1.i1 12 32 24 26 46 36
Dgal_TRINITY.DN14787.c0.g1.i2 2 2 2 4 0 0
Dgal_TRINITY.DN14787.c0.g2.i1 540 492 594 538 528 810
Dgal_TRINITY.DN14787.c0.g3.i1 528 508 548 544 514 672
Dgal_TRINITY.DN14787.c0.g3.i3 4 4 0 4 2 2
Dgal_TRINITY.DN14788.c3.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14788.c3.g2.i10 4 2 0 0 4 4
Dgal_TRINITY.DN14788.c3.g2.i1 4 6 0 2 4 0
Dgal_TRINITY.DN14788.c3.g2.i3 22 12 8 12 20 16
Dgal_TRINITY.DN14788.c3.g2.i4 8 18 26 22 8 20
Dgal_TRINITY.DN14788.c3.g2.i8 0 0 0 0 0 0
Dgal_TRINITY.DN14788.c3.g3.i1 8 4 8 8 14 4
Dgal_TRINITY.DN14788.c3.g3.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14788.c3.g4.i2 0 0 2 0 0 2
Dgal_TRINITY.DN14788.c3.g5.i1 4 8 0 4 6 0
Dgal_TRINITY.DN14788.c3.g6.i1 2 2 2 8 0 2
Dgal_TRINITY.DN14788.c3.g7.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14788.c3.g9.i1 6 2 8 8 14 8
Dgal_TRINITY.DN14789.c0.g1.i1 4144 4734 4240 4502 4422 6120
Dgal_TRINITY.DN1478.c0.g2.i1 12 18 18 24 32 24
Dgal_TRINITY.DN14790.c0.g1.i2 268 182 236 198 242 300
Dgal_TRINITY.DN14791.c0.g1.i2 62 64 64 88 66 78
Dgal_TRINITY.DN14792.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14792.c0.g2.i2 74 82 60 72 62 86
Dgal_TRINITY.DN14793.c0.g1.i1 7814 7994 7714 6828 8188 9582
Dgal_TRINITY.DN14794.c0.g1.i1 68 46 56 42 46 40
Dgal_TRINITY.DN14794.c0.g1.i2 234 236 234 206 238 338
Dgal_TRINITY.DN14795.c0.g2.i10 6 18 4 2 14 20
Dgal_TRINITY.DN14795.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14795.c0.g2.i8 2 2 4 6 4 8
Dgal_TRINITY.DN14795.c0.g2.i9 0 0 0 0 0 0
Dgal_TRINITY.DN14796.c0.g2.i1 272 374 284 324 380 362
Dgal_TRINITY.DN14796.c0.g2.i2 4 14 18 14 12 12
Dgal_TRINITY.DN14797.c0.g1.i1 7854 8368 7874 8076 7896 9572
Dgal_TRINITY.DN14798.c0.g1.i1 3884 4400 4114 4158 4104 5016
Dgal_TRINITY.DN14799.c0.g1.i2 784 900 794 752 782 774
Dgal_TRINITY.DN1479.c0.g1.i1 80 114 84 80 62 84
Dgal_TRINITY.DN14800.c0.g1.i1 20 28 40 42 68 52
Dgal_TRINITY.DN14800.c0.g1.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14800.c0.g1.i3 42 28 42 30 34 42
Dgal_TRINITY.DN14801.c0.g1.i1 18722 19602 18342 19740 20804 24578
Dgal_TRINITY.DN14802.c0.g1.i1 73124 80920 71200 64892 70614 64432
Dgal_TRINITY.DN14802.c0.g2.i1 28 26 14 22 32 24
Dgal_TRINITY.DN14803.c0.g1.i2 806 816 876 792 930 1048
Dgal_TRINITY.DN14804.c0.g1.i1 2 2 8 6 6 0
Dgal_TRINITY.DN14804.c1.g1.i2 46 38 32 44 46 42
Dgal_TRINITY.DN14804.c1.g1.i3 2 0 2 0 2 0
Dgal_TRINITY.DN14804.c1.g1.i5 24 6 16 12 16 14
Dgal_TRINITY.DN14804.c1.g1.i6 16 0 14 16 8 16
Dgal_TRINITY.DN14805.c0.g1.i1 694 706 748 748 690 874
Dgal_TRINITY.DN14806.c0.g1.i1 160 178 218 170 182 250
Dgal_TRINITY.DN14806.c0.g1.i3 200 240 184 180 216 274
Dgal_TRINITY.DN14806.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14806.c0.g2.i2 14 14 8 8 14 6
Dgal_TRINITY.DN14806.c0.g2.i3 14 22 36 26 20 30
Dgal_TRINITY.DN14807.c0.g1.i2 20 16 16 20 24 28
Dgal_TRINITY.DN14807.c1.g1.i1 3912 3288 3380 3340 4072 4924
Dgal_TRINITY.DN14808.c0.g1.i1 1122 1248 870 1154 1068 1354
Dgal_TRINITY.DN14809.c0.g1.i1 584 994 944 930 860 982
Dgal_TRINITY.DN1480.c0.g1.i1 36 38 42 28 10 46
Dgal_TRINITY.DN14810.c0.g1.i1 20 20 28 36 20 32
Dgal_TRINITY.DN14810.c0.g1.i2 268 282 256 212 272 334
Dgal_TRINITY.DN14810.c1.g1.i2 13132 13566 13326 13756 14446 16700
Dgal_TRINITY.DN14811.c0.g1.i1 1682 1262 1432 1698 1738 2162
Dgal_TRINITY.DN14812.c0.g1.i1 4444 3894 4158 4374 4786 5310
Dgal_TRINITY.DN14813.c0.g1.i1 10 20 28 6 16 24
Dgal_TRINITY.DN14813.c0.g2.i1 288 278 250 308 256 366
Dgal_TRINITY.DN14813.c0.g3.i2 1108 1158 1056 1038 1120 1498
Dgal_TRINITY.DN14814.c0.g1.i2 1758 1822 1858 1844 1864 2330
Dgal_TRINITY.DN14815.c0.g1.i1 11938 9640 10280 11056 11884 13608
Dgal_TRINITY.DN14816.c0.g1.i1 2008 2956 2668 1886 2686 2786
Dgal_TRINITY.DN14817.c0.g1.i1 74 110 74 66 90 92
Dgal_TRINITY.DN14817.c0.g1.i2 28 12 20 22 18 18
Dgal_TRINITY.DN14817.c0.g1.i3 4 2 0 0 4 0
Dgal_TRINITY.DN14818.c0.g1.i1 38 46 52 30 26 52
Dgal_TRINITY.DN14818.c0.g2.i1 118 144 164 140 118 224
Dgal_TRINITY.DN14819.c0.g1.i1 2088 1774 1960 2014 2482 2518
Dgal_TRINITY.DN1481.c0.g1.i1 0 6 0 0 22 0
Dgal_TRINITY.DN14820.c0.g1.i1 4450 4910 4438 4452 4418 5284
Dgal_TRINITY.DN14821.c0.g1.i1 2760 2190 2722 1676 3834 4682
Dgal_TRINITY.DN14821.c0.g3.i2 3338 2544 3152 2232 4494 5516
Dgal_TRINITY.DN14821.c0.g5.i1 4966 3932 4412 2834 5968 7450
Dgal_TRINITY.DN14822.c0.g1.i1 0 6 14 6 10 4
Dgal_TRINITY.DN14822.c0.g1.i2 2 0 0 0 0 0
Dgal_TRINITY.DN14822.c0.g1.i6 18 20 30 32 14 16
Dgal_TRINITY.DN14822.c0.g1.i7 6 0 2 0 0 0
Dgal_TRINITY.DN14823.c0.g1.i1 56 150 84 112 136 68
Dgal_TRINITY.DN14823.c0.g2.i1 56 116 98 64 164 112
Dgal_TRINITY.DN14823.c0.g2.i2 0 0 12 6 0 0
Dgal_TRINITY.DN14824.c0.g1.i1 256 304 286 388 282 372
Dgal_TRINITY.DN14825.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14825.c0.g1.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14825.c0.g1.i3 0 0 0 0 0 0
Dgal_TRINITY.DN14825.c0.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14825.c0.g1.i5 0 0 0 0 0 0
Dgal_TRINITY.DN14825.c0.g1.i6 0 0 0 0 0 0
Dgal_TRINITY.DN14826.c0.g1.i1 2512 2810 2570 2536 2652 3100
Dgal_TRINITY.DN14827.c0.g1.i1 2476 2492 2124 2354 2206 2222
Dgal_TRINITY.DN14827.c0.g1.i2 44 26 52 22 22 36
Dgal_TRINITY.DN14828.c0.g1.i1 16 12 22 10 30 34
Dgal_TRINITY.DN14828.c0.g3.i10 0 0 0 0 0 0
Dgal_TRINITY.DN14828.c0.g3.i4 10 8 22 24 12 8
Dgal_TRINITY.DN14828.c0.g3.i6 6 4 6 8 4 6
Dgal_TRINITY.DN14828.c0.g4.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14828.c0.g6.i1 8 14 12 12 0 8
Dgal_TRINITY.DN14829.c0.g1.i1 2038 1400 1652 1616 2216 3400
Dgal_TRINITY.DN14829.c0.g1.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14829.c0.g1.i4 468 390 428 410 450 684
Dgal_TRINITY.DN1482.c0.g1.i1 12 4 10 8 10 6
Dgal_TRINITY.DN1482.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14830.c0.g1.i1 6070 7098 6962 7258 6858 8802
Dgal_TRINITY.DN14831.c0.g1.i1 524 644 560 374 402 348
Dgal_TRINITY.DN14832.c0.g1.i1 15828 13358 14764 14030 17008 19344
Dgal_TRINITY.DN14833.c0.g1.i1 430 420 434 462 472 558
Dgal_TRINITY.DN14833.c0.g1.i2 46 82 76 66 68 76
Dgal_TRINITY.DN14833.c0.g1.i3 114 68 94 90 112 136
Dgal_TRINITY.DN14834.c0.g1.i1 15530 16810 14350 15304 16476 20540
Dgal_TRINITY.DN14835.c0.g1.i1 60 42 26 34 50 52
Dgal_TRINITY.DN14835.c0.g1.i2 270 248 258 318 264 412
Dgal_TRINITY.DN14835.c0.g2.i1 1580 1652 1708 1876 1738 1960
Dgal_TRINITY.DN14836.c0.g1.i2 848 940 812 776 928 1144
Dgal_TRINITY.DN14837.c0.g1.i2 1340 2512 2184 2288 1918 2560
Dgal_TRINITY.DN14838.c0.g1.i1 3112 1548 2048 1792 1796 3882
Dgal_TRINITY.DN14839.c0.g1.i2 10 8 0 6 6 4
Dgal_TRINITY.DN14839.c0.g1.i5 4 4 4 8 2 4
Dgal_TRINITY.DN14839.c0.g1.i6 146 214 154 184 162 172
Dgal_TRINITY.DN1483.c0.g1.i1 24 12 24 34 34 22
Dgal_TRINITY.DN14840.c0.g1.i14 292 248 218 244 252 388
Dgal_TRINITY.DN14840.c0.g1.i19 0 0 4 8 4 4
Dgal_TRINITY.DN14840.c0.g1.i4 30 14 16 36 14 34
Dgal_TRINITY.DN14840.c0.g1.i6 0 0 0 0 0 0
Dgal_TRINITY.DN14840.c0.g1.i7 0 2 0 0 0 0
Dgal_TRINITY.DN14840.c0.g1.i8 0 0 0 0 0 0
Dgal_TRINITY.DN14841.c0.g1.i1 60 48 48 68 44 78
Dgal_TRINITY.DN14841.c0.g1.i2 28 22 32 26 24 50
Dgal_TRINITY.DN14842.c0.g2.i1 24 32 16 28 26 24
Dgal_TRINITY.DN14842.c0.g2.i2 1570 2116 2112 2018 1760 1976
Dgal_TRINITY.DN14843.c0.g1.i1 346 376 390 438 428 446
Dgal_TRINITY.DN14844.c0.g1.i1 286 602 512 426 426 418
Dgal_TRINITY.DN14845.c0.g1.i1 50 44 58 40 48 354
Dgal_TRINITY.DN14845.c0.g1.i2 98 70 98 86 68 528
Dgal_TRINITY.DN14846.c0.g1.i1 2 4 0 0 0 0
Dgal_TRINITY.DN14846.c0.g2.i1 336 162 242 206 186 316
Dgal_TRINITY.DN14846.c0.g3.i1 2490 2988 2734 2578 2834 3362
Dgal_TRINITY.DN14847.c1.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14847.c2.g1.i2 182 114 158 150 206 314
Dgal_TRINITY.DN14847.c2.g1.i3 0 0 0 0 0 0
Dgal_TRINITY.DN14847.c2.g1.i6 252 236 224 194 256 302
Dgal_TRINITY.DN14847.c2.g1.i7 0 0 0 0 0 0
Dgal_TRINITY.DN14847.c2.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14847.c2.g3.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14847.c3.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14848.c0.g1.i1 4476 4214 4154 4414 4586 5276
Dgal_TRINITY.DN14849.c0.g1.i1 242 292 258 310 326 344
Dgal_TRINITY.DN14849.c1.g1.i1 306 302 344 340 324 308
Dgal_TRINITY.DN1484.c0.g1.i1 88 78 76 64 92 92
Dgal_TRINITY.DN14850.c0.g1.i1 24 38 22 30 32 56
Dgal_TRINITY.DN14850.c0.g1.i2 0 0 0 2 10 0
Dgal_TRINITY.DN14850.c0.g1.i3 92 46 64 54 66 108
Dgal_TRINITY.DN14850.c0.g1.i4 6 2 4 10 2 8
Dgal_TRINITY.DN14850.c0.g1.i5 2 0 0 0 0 0
Dgal_TRINITY.DN14851.c0.g1.i1 50 28 46 46 46 74
Dgal_TRINITY.DN14851.c0.g1.i4 14 18 24 14 12 24
Dgal_TRINITY.DN14851.c0.g1.i5 34 14 14 12 16 22
Dgal_TRINITY.DN14851.c0.g1.i6 0 2 0 0 0 0
Dgal_TRINITY.DN14851.c0.g1.i8 2 0 0 0 0 0
Dgal_TRINITY.DN14852.c0.g1.i1 228 268 258 188 172 228
Dgal_TRINITY.DN14852.c1.g1.i1 400 462 444 400 360 388
Dgal_TRINITY.DN14853.c0.g1.i1 122 96 128 124 126 136
Dgal_TRINITY.DN14853.c0.g1.i3 92 88 80 96 112 92
Dgal_TRINITY.DN14854.c0.g1.i1 396 320 396 358 406 484
Dgal_TRINITY.DN14855.c0.g1.i1 6 4 2 10 6 14
Dgal_TRINITY.DN14855.c1.g1.i1 4 2 10 6 2 10
Dgal_TRINITY.DN14855.c1.g2.i1 6 4 6 2 2 0
Dgal_TRINITY.DN14855.c2.g1.i3 0 0 0 0 0 0
Dgal_TRINITY.DN14855.c3.g1.i2 8 6 2 4 4 4
Dgal_TRINITY.DN14855.c3.g1.i3 14 20 12 14 24 10
Dgal_TRINITY.DN14855.c3.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14855.c3.g1.i7 32 28 32 18 38 62
Dgal_TRINITY.DN14855.c3.g2.i1 6 2 2 10 6 0
Dgal_TRINITY.DN14856.c0.g1.i10 0 2 8 2 10 0
Dgal_TRINITY.DN14856.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14856.c0.g1.i3 0 0 0 0 0 0
Dgal_TRINITY.DN14856.c0.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14856.c0.g1.i5 0 0 0 0 0 0
Dgal_TRINITY.DN14856.c0.g1.i6 0 2 0 0 0 0
Dgal_TRINITY.DN14856.c0.g1.i7 0 0 0 2 0 0
Dgal_TRINITY.DN14856.c0.g1.i8 0 0 0 2 0 0
Dgal_TRINITY.DN14856.c0.g1.i9 4 0 0 0 0 0
Dgal_TRINITY.DN14857.c0.g1.i1 2 2 2 2 4 0
Dgal_TRINITY.DN14857.c0.g1.i5 18 60 28 22 42 36
Dgal_TRINITY.DN14857.c0.g2.i1 4 2 2 6 2 2
Dgal_TRINITY.DN14857.c0.g2.i2 6 4 6 4 8 10
Dgal_TRINITY.DN14858.c0.g1.i10 24 18 18 18 16 40
Dgal_TRINITY.DN14858.c0.g1.i2 14 14 6 0 20 16
Dgal_TRINITY.DN14858.c0.g1.i7 50 58 56 66 58 82
Dgal_TRINITY.DN14859.c0.g1.i2 76 46 58 74 56 74
Dgal_TRINITY.DN14859.c0.g1.i4 30 22 18 22 14 32
Dgal_TRINITY.DN14859.c0.g1.i6 40 70 70 58 62 80
Dgal_TRINITY.DN14859.c0.g1.i7 132 134 160 134 158 144
Dgal_TRINITY.DN14859.c0.g1.i9 0 2 12 6 10 10
Dgal_TRINITY.DN14859.c0.g3.i1 74 42 48 58 46 62
Dgal_TRINITY.DN1485.c0.g1.i1 16 6 10 20 18 26
Dgal_TRINITY.DN14860.c0.g1.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14860.c0.g1.i3 54 38 44 40 42 24
Dgal_TRINITY.DN14860.c0.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14860.c0.g1.i5 0 0 0 0 0 0
Dgal_TRINITY.DN14860.c0.g1.i6 0 0 0 0 0 0
Dgal_TRINITY.DN14860.c0.g1.i7 182 218 186 164 198 216
Dgal_TRINITY.DN14860.c0.g1.i8 238 340 242 288 308 244
Dgal_TRINITY.DN14861.c0.g1.i1 2228 2702 2596 2394 2392 2664
Dgal_TRINITY.DN14862.c0.g1.i2 1850 1886 1732 1718 1872 2356
Dgal_TRINITY.DN14862.c0.g2.i1 58 34 38 44 38 34
Dgal_TRINITY.DN14863.c0.g1.i2 950 1166 916 668 778 586
Dgal_TRINITY.DN14863.c0.g1.i4 32 54 22 20 24 30
Dgal_TRINITY.DN14863.c0.g1.i5 380 396 320 286 290 252
Dgal_TRINITY.DN14864.c0.g1.i1 1916 1886 1902 2026 1982 2498
Dgal_TRINITY.DN14864.c1.g3.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14864.c1.g3.i4 640 400 762 528 606 918
Dgal_TRINITY.DN14864.c1.g3.i5 210 162 232 170 230 276
Dgal_TRINITY.DN14864.c1.g3.i6 692 472 656 496 528 802
Dgal_TRINITY.DN14865.c0.g1.i1 430 560 450 496 484 624
Dgal_TRINITY.DN14865.c1.g1.i1 2 0 0 0 0 2
Dgal_TRINITY.DN14865.c2.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14865.c2.g1.i2 18 32 40 16 38 34
Dgal_TRINITY.DN14865.c2.g1.i3 4 16 14 8 20 26
Dgal_TRINITY.DN14865.c2.g1.i5 14 26 12 20 6 8
Dgal_TRINITY.DN14865.c2.g1.i7 48 78 52 58 84 56
Dgal_TRINITY.DN14865.c3.g1.i1 956 988 1090 926 988 1160
Dgal_TRINITY.DN14865.c3.g1.i3 42 34 56 56 46 42
Dgal_TRINITY.DN14866.c0.g1.i2 24 18 24 38 20 48
Dgal_TRINITY.DN14866.c0.g1.i4 28 4 24 46 26 40
Dgal_TRINITY.DN14866.c0.g1.i5 56 62 66 56 64 72
Dgal_TRINITY.DN14866.c0.g1.i6 2 2 2 12 2 4
Dgal_TRINITY.DN14866.c0.g1.i9 56 66 46 56 72 92
Dgal_TRINITY.DN14867.c0.g1.i1 114 228 196 220 156 220
Dgal_TRINITY.DN14867.c0.g2.i1 16 20 18 24 14 26
Dgal_TRINITY.DN14867.c0.g2.i3 106 180 146 210 140 196
Dgal_TRINITY.DN14868.c0.g2.i1 1018 1080 1130 1192 1294 1300
Dgal_TRINITY.DN14869.c0.g1.i1 2374 1898 2246 2196 2220 2900
Dgal_TRINITY.DN1486.c0.g1.i1 16 30 32 24 30 38
Dgal_TRINITY.DN14870.c0.g1.i1 60 54 86 56 58 74
Dgal_TRINITY.DN14870.c1.g1.i1 932 972 842 878 930 1002
Dgal_TRINITY.DN14871.c0.g1.i1 668 670 724 804 794 904
Dgal_TRINITY.DN14872.c0.g1.i10 6 14 12 2 6 4
Dgal_TRINITY.DN14872.c0.g1.i1 86 62 70 38 60 96
Dgal_TRINITY.DN14872.c0.g1.i12 12 2 8 8 8 2
Dgal_TRINITY.DN14872.c0.g1.i4 0 0 2 0 0 0
Dgal_TRINITY.DN14872.c0.g1.i6 38 38 52 32 56 66
Dgal_TRINITY.DN14872.c0.g1.i8 2 2 8 6 4 2
Dgal_TRINITY.DN14872.c0.g1.i9 102 80 84 80 118 134
Dgal_TRINITY.DN14872.c0.g2.i1 4 2 4 2 0 8
Dgal_TRINITY.DN14873.c0.g1.i1 6388 5648 5928 5810 6950 7772
Dgal_TRINITY.DN14874.c0.g1.i1 1380 1490 1304 1266 1406 1710
Dgal_TRINITY.DN14875.c3.g2.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14875.c3.g3.i1 34 38 30 32 36 38
Dgal_TRINITY.DN14875.c3.g4.i7 6 4 4 6 0 8
Dgal_TRINITY.DN14875.c3.g5.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14875.c3.g7.i4 4 2 4 0 2 8
Dgal_TRINITY.DN14875.c3.g7.i7 0 4 2 8 10 0
Dgal_TRINITY.DN14875.c3.g7.i8 34 30 32 48 30 56
Dgal_TRINITY.DN14876.c0.g1.i1 66 74 130 74 150 52
Dgal_TRINITY.DN14876.c0.g1.i2 88 120 126 94 78 84
Dgal_TRINITY.DN14876.c0.g1.i3 76 142 196 138 224 52
Dgal_TRINITY.DN14877.c0.g1.i1 192 308 212 202 222 160
Dgal_TRINITY.DN14878.c0.g1.i2 138 226 200 228 218 182
Dgal_TRINITY.DN14879.c0.g1.i2 196 374 192 432 376 336
Dgal_TRINITY.DN1487.c0.g1.i1 14 6 12 6 16 12
Dgal_TRINITY.DN14880.c0.g1.i1 76 54 54 40 62 84
Dgal_TRINITY.DN14880.c0.g1.i2 166 224 244 190 200 216
Dgal_TRINITY.DN14880.c1.g1.i1 66 74 80 68 74 78
Dgal_TRINITY.DN14880.c1.g1.i2 14 32 16 22 34 18
Dgal_TRINITY.DN14881.c0.g1.i3 25068 24524 24270 23392 26520 29200
Dgal_TRINITY.DN14882.c0.g1.i1 2398 2460 2376 2042 2346 2732
Dgal_TRINITY.DN14882.c1.g1.i1 890 918 860 806 820 1040
Dgal_TRINITY.DN14882.c2.g1.i5 1916 2966 2194 2204 2194 2340
Dgal_TRINITY.DN14882.c2.g1.i8 142 116 140 120 104 168
Dgal_TRINITY.DN14883.c0.g1.i1 582 584 700 568 634 648
Dgal_TRINITY.DN14883.c0.g2.i1 978 1130 1070 1088 1096 1230
Dgal_TRINITY.DN14884.c0.g1.i1 1960 2592 2634 2822 2360 2530
Dgal_TRINITY.DN14885.c0.g1.i1 470 404 526 484 466 540
Dgal_TRINITY.DN14885.c1.g1.i1 5856 5530 5446 5302 5748 6416
Dgal_TRINITY.DN14886.c0.g1.i1 434 418 490 508 536 720
Dgal_TRINITY.DN14886.c0.g2.i3 960 1124 938 940 1010 1328
Dgal_TRINITY.DN14887.c0.g1.i1 0 0 0 0 0 0
Dgal_TRINITY.DN14887.c0.g1.i2 0 0 0 0 0 0
Dgal_TRINITY.DN14887.c0.g1.i3 108 100 60 70 62 102
Dgal_TRINITY.DN14887.c0.g1.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14887.c0.g1.i5 0 0 0 0 0 0
Dgal_TRINITY.DN14887.c0.g1.i6 14 12 10 12 8 14
Dgal_TRINITY.DN14887.c0.g1.i7 14 10 14 28 12 18
Dgal_TRINITY.DN14887.c0.g1.i8 0 0 0 0 0 0
Dgal_TRINITY.DN14888.c0.g1.i1 204 1080 1162 1754 724 1088
Dgal_TRINITY.DN14889.c0.g1.i3 618 500 596 620 656 812
Dgal_TRINITY.DN14889.c0.g2.i1 0 0 0 0 0 0
Dgal_TRINITY.DN1488.c0.g1.i1 100 142 126 108 104 78
Dgal_TRINITY.DN14890.c0.g1.i1 860 702 764 828 926 944
Dgal_TRINITY.DN14891.c0.g1.i1 4114 4012 4420 4442 4596 5512
Dgal_TRINITY.DN14892.c0.g1.i1 5962 5528 5928 5850 6330 7256
Dgal_TRINITY.DN14893.c0.g1.i1 516 582 490 538 614 612
Dgal_TRINITY.DN14894.c2.g1.i1 18 20 22 22 26 32
Dgal_TRINITY.DN14894.c2.g2.i1 2 6 2 2 2 0
Dgal_TRINITY.DN14894.c5.g1.i1 0 2 6 8 0 6
Dgal_TRINITY.DN14894.c5.g2.i2 10 2 8 4 18 10
Dgal_TRINITY.DN14894.c5.g2.i4 24 22 26 12 12 24
Dgal_TRINITY.DN14894.c5.g2.i7 0 2 2 2 0 2
Dgal_TRINITY.DN14894.c5.g3.i2 122 100 114 108 128 164
Dgal_TRINITY.DN14894.c5.g3.i7 20 6 8 4 14 10
Dgal_TRINITY.DN14894.c5.g4.i1 34 44 36 34 44 46
Dgal_TRINITY.DN14894.c6.g1.i1 44 56 82 46 66 50
Dgal_TRINITY.DN14894.c6.g2.i1 32 16 30 14 28 16
Dgal_TRINITY.DN14894.c6.g3.i2 276 224 308 278 276 306
Dgal_TRINITY.DN14894.c6.g3.i3 26 12 20 22 30 26
Dgal_TRINITY.DN14894.c6.g3.i6 108 120 134 136 168 168
Dgal_TRINITY.DN14894.c6.g4.i1 6 2 2 2 2 4
Dgal_TRINITY.DN14894.c6.g5.i1 16 8 10 12 20 26
Dgal_TRINITY.DN14894.c6.g5.i3 106 104 92 82 116 148
Dgal_TRINITY.DN14894.c7.g4.i1 30 20 44 24 30 40
Dgal_TRINITY.DN14894.c8.g1.i1 24 18 14 8 32 8
Dgal_TRINITY.DN14895.c0.g1.i1 458 432 460 420 392 554
Dgal_TRINITY.DN14895.c0.g1.i3 26 24 14 32 28 32
Dgal_TRINITY.DN14895.c0.g1.i4 60 42 42 12 24 60
Dgal_TRINITY.DN14896.c0.g2.i1 0 0 0 0 2 0
Dgal_TRINITY.DN14896.c0.g2.i2 74 86 62 44 62 94
Dgal_TRINITY.DN14897.c0.g1.i1 0 2 0 0 4 0
Dgal_TRINITY.DN14897.c0.g2.i2 452 396 502 476 608 704
Dgal_TRINITY.DN14897.c1.g1.i1 8 2 2 2 4 10
Dgal_TRINITY.DN14898.c0.g1.i3 654 598 636 596 630 892
Dgal_TRINITY.DN14899.c0.g1.i1 14 12 10 12 18 32
Dgal_TRINITY.DN14899.c0.g2.i13 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i20 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i22 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i23 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i26 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i4 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i6 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i8 0 0 0 0 0 0
Dgal_TRINITY.DN14899.c0.g2.i9 12 22 18 16 38 36
Dgal_TRINITY.DN1489.c0.g1.i1 10 0 2 0 4 4
